,Dates,Rates
0,2018-09-01,5.03
1,2018-10-01,5.25
2,2018-11-01,5.25
3,2018-12-01,5.35
4,2019-01-01,5.50
5,2019-02-01,5.50
6,2019-03-01,5.50
7,2019-04-01,5.50
8,2019-05-01,5.50
9,2019-06-01,5.50
10,2019-07-01,5.50
11,2019-08-01,5.25
12,2019-09-01,5.15
13,2019-10-01,4.99
14,2019-11-01,4.75
15,2019-12-01,4.75
16,2020-01-01,4.75
17,2020-02-01,4.75
18,2020-03-01,3.78
19,2020-04-01,3.25
20,2020-05-01,3.25
21,2020-06-01,3.25
22,2020-07-01,3.25
23,2020-08-01,3.25
24,2020-09-01,3.25
25,2020-10-01,3.25
26,2020-11-01,3.25
27,2020-12-01,3.25
28,2021-01-01,3.25
29,2021-02-01,3.25
30,2021-03-01,3.25
31,2021-04-01,3.25
32,2021-05-01,3.25
33,2021-06-01,3.25
34,2021-07-01,3.25
35,2021-08-01,3.25
36,2021-09-01,3.25
37,2021-10-01,3.25
38,2021-11-01,3.25
39,2021-12-01,3.25
40,2022-01-01,3.25
41,2022-02-01,3.25
42,2022-03-01,3.37
43,2022-04-01,3.50
44,2022-05-01,3.94
45,2022-06-01,4.38
46,2022-07-01,4.85
47,2022-08-01,5.50
48,2022-09-01,5.73
49,2022-10-01,6.25
50,2022-11-01,6.95
51,2022-12-01,7.27
52,2023-01-01,7.50
53,2023-02-01,7.74
