Year,Month,Average Rate
2018,8,4.55
2018,9,4.6274999999999995
2018,10,4.83
2018,11,4.866
2018,12,4.6375
2019,1,4.464
2019,2,4.37
2019,3,4.265
2019,4,4.1425
2019,5,4.072
2019,6,3.8024999999999998
2019,7,3.765
2019,8,3.6159999999999997
2019,9,3.605
2019,10,3.6879999999999997
2019,11,3.6950000000000003
2019,12,3.72
2020,1,3.624
2020,2,3.4650000000000003
2020,3,3.45
2020,4,3.306
2020,5,3.2325
2020,6,3.1625
2020,7,3.016
2020,8,2.935
2020,9,2.89
2020,10,2.834
2020,11,2.765
2020,12,2.684
2021,1,2.735
2021,2,2.81
2021,3,3.0825
2021,4,3.06
2021,5,2.9625
2021,6,2.975
2021,7,2.868
2021,8,2.8425000000000002
2021,9,2.9
2021,10,3.0675
2021,11,3.0675
2021,12,3.098
2022,1,3.4450000000000003
2022,2,3.7625
2022,3,4.172
2022,4,4.9825
2022,5,5.2299999999999995
2022,6,5.522
2022,7,5.4125
2022,8,5.2225
2022,9,6.112
2022,10,6.9
2022,11,6.805
2022,12,6.364
2023,1,6.2725
