DATE,MPRIME
8/1/2018,5
9/1/2018,5.03
10/1/2018,5.25
11/1/2018,5.25
12/1/2018,5.35
1/1/2019,5.5
2/1/2019,5.5
3/1/2019,5.5
4/1/2019,5.5
5/1/2019,5.5
6/1/2019,5.5
7/1/2019,5.5
8/1/2019,5.25
9/1/2019,5.15
10/1/2019,4.99
11/1/2019,4.75
12/1/2019,4.75
1/1/2020,4.75
2/1/2020,4.75
3/1/2020,3.78
4/1/2020,3.25
5/1/2020,3.25
6/1/2020,3.25
7/1/2020,3.25
8/1/2020,3.25
9/1/2020,3.25
10/1/2020,3.25
11/1/2020,3.25
12/1/2020,3.25
1/1/2021,3.25
2/1/2021,3.25
3/1/2021,3.25
4/1/2021,3.25
5/1/2021,3.25
6/1/2021,3.25
7/1/2021,3.25
8/1/2021,3.25
9/1/2021,3.25
10/1/2021,3.25
11/1/2021,3.25
12/1/2021,3.25
1/1/2022,3.25
2/1/2022,3.25
3/1/2022,3.37
4/1/2022,3.5
5/1/2022,3.94
6/1/2022,4.38
7/1/2022,4.85
8/1/2022,5.5
9/1/2022,5.73
10/1/2022,6.25
11/1/2022,6.95
12/1/2022,7.27
1/1/2023,7.5
