DATE,MORTGAGE30US
8/30/2018,4.52
9/27/2018,4.72
10/25/2018,4.86
11/29/2018,4.81
12/27/2018,4.55
1/31/2019,4.46
2/28/2019,4.35
3/28/2019,4.06
4/25/2019,4.2
5/30/2019,3.99
6/27/2019,3.73
7/25/2019,3.75
8/29/2019,3.58
9/26/2019,3.64
10/31/2019,3.78
11/27/2019,3.68
12/26/2019,3.74
1/30/2020,3.51
2/27/2020,3.45
3/26/2020,3.5
4/30/2020,3.23
5/28/2020,3.15
6/25/2020,3.13
7/30/2020,2.99
8/27/2020,2.91
9/24/2020,2.9
10/29/2020,2.81
11/25/2020,2.72
12/31/2020,2.67
1/28/2021,2.73
2/25/2021,2.97
3/25/2021,3.17
4/29/2021,2.98
5/27/2021,2.95
6/24/2021,3.02
7/29/2021,2.8
8/26/2021,2.87
9/30/2021,3.01
10/28/2021,3.14
11/24/2021,3.1
12/30/2021,3.11
1/27/2022,3.55
2/24/2022,3.89
3/31/2022,4.67
4/28/2022,5.1
5/26/2022,5.1
6/30/2022,5.7
7/28/2022,5.3
8/25/2022,5.55
9/29/2022,6.7
10/27/2022,7.08
11/23/2022,6.58
12/29/2022,6.42
1/26/2023,6.13
